latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
20.49982,-76.85047,300.19,0.76,0.77,2022-02-18,05:48,N,nominal,2.0NRT,288.48,1.58,N
20.49836,-76.84721,307.53,0.76,0.77,2022-02-18,05:48,N,nominal,2.0NRT,288.88,1.77,N
18.93093,-70.35294,337.78,0.56,0.51,2022-02-18,05:48,N,nominal,2.0NRT,289.35,6.07,N
18.92613,-70.35323,340.31,0.56,0.51,2022-02-18,05:48,N,nominal,2.0NRT,289.01,6.07,N
18.45968,-69.09274,301.86,0.46,0.47,2022-02-18,05:48,N,nominal,2.0NRT,290.02,0.4,N
17.83393,-71.4475,302.88,0.64,0.54,2022-02-18,05:48,N,nominal,2.0NRT,290.74,1.44,N
42.54736,-94.08631,367,0.39,0.59,2022-02-18,07:22,N,high,2.0NRT,260.31,6.39,N
41.6784,-87.43186,311.14,0.54,0.42,2022-02-18,07:22,N,nominal,2.0NRT,265.51,2.51,N
41.64342,-87.13842,328.55,0.52,0.42,2022-02-18,07:22,N,nominal,2.0NRT,268.56,2.87,N
41.67402,-87.4659,322.51,0.54,0.42,2022-02-18,07:22,N,nominal,2.0NRT,266.22,3.2,N
41.64026,-87.14545,301.64,0.52,0.42,2022-02-18,07:22,N,nominal,2.0NRT,264.69,2.87,N
41.63958,-87.13912,307.82,0.52,0.42,2022-02-18,07:22,N,nominal,2.0NRT,266.2,2.87,N
41.67012,-87.46661,296.01,0.54,0.42,2022-02-18,07:22,N,nominal,2.0NRT,261.52,1.08,N
41.63575,-87.13985,301.4,0.52,0.42,2022-02-18,07:22,N,nominal,2.0NRT,265.32,2.47,N
41.64008,-87.4061,304.98,0.54,0.42,2022-02-18,07:22,N,nominal,2.0NRT,267.59,1.07,N
41.62833,-87.3688,295.07,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,266.39,1.65,N
41.62434,-87.33018,296.79,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,267.13,0.96,N
41.62047,-87.33088,301.9,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,268.75,0.96,N
41.6166,-87.33162,308.98,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,266.87,2.19,N
41.61274,-87.33236,297.83,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,265,2.19,N
41.62786,-87.36912,297.7,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,265.43,1.56,N
41.62368,-87.33057,299.78,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,266.77,1.5,N
41.6198,-87.33127,314.23,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,268.62,2.14,N
41.61594,-87.332,299.59,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,265.16,2.14,N
41.61525,-87.3256,312.73,0.53,0.42,2022-02-18,07:22,N,nominal,2.0NRT,267.93,1.64,N
41.17956,-87.85984,326.16,0.55,0.43,2022-02-18,07:22,N,nominal,2.0NRT,261.93,4.17,N
42.54632,-94.0851,354.25,0.39,0.59,2022-02-18,07:22,N,nominal,2.0NRT,259.07,4.99,N
41.68093,-87.41814,296.15,0.54,0.42,2022-02-18,07:22,N,nominal,2.0NRT,270.01,2.39,N
38.69518,-90.14757,297.01,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,265.8,1.24,N
38.69371,-90.13198,312.09,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,267.45,1.67,N
38.69086,-90.14823,298.04,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,264.89,1.24,N
38.18188,-90.33988,295.04,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,268.53,0.84,N
38.18111,-90.33688,298.1,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,268.73,0.57,N
35.53474,-93.38342,295.6,0.62,0.54,2022-02-18,07:24,N,nominal,2.0NRT,268.8,0.67,N
37.96804,-90.08038,306.1,0.44,0.46,2022-02-18,07:24,N,nominal,2.0NRT,268.75,1.37,N
35.22077,-77.66869,326.37,0.57,0.43,2022-02-18,07:24,N,nominal,2.0NRT,253.84,9.44,N
38.69556,-90.13403,301.09,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,270.81,1.58,N
38.6951,-90.12884,317.66,0.45,0.47,2022-02-18,07:24,N,nominal,2.0NRT,269.01,1.58,N
29.06952,-95.75037,298.95,0.37,0.58,2022-02-18,07:26,N,nominal,2.0NRT,283.69,1.39,N
29.72284,-95.23174,295.99,0.35,0.56,2022-02-18,07:26,N,nominal,2.0NRT,279.99,0.99,N
29.72752,-95.22389,297.25,0.35,0.56,2022-02-18,07:26,N,nominal,2.0NRT,280.31,0.44,N
29.74067,-95.12379,310.72,0.34,0.56,2022-02-18,07:26,N,nominal,2.0NRT,278.89,0.81,N
