latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
45.07351,-83.40521,329.14,0.35,0.57,2021-10-15,06:44,N,nominal,2.0NRT,290,2.47,N
45.31655,-85.30207,298.31,0.44,0.62,2021-10-15,06:44,N,nominal,2.0NRT,285.6,0.98,N
45.31597,-85.30186,297.67,0.44,0.62,2021-10-15,06:44,N,nominal,2.0NRT,285.36,0.42,N
48.2529,-79.02424,298.72,0.47,0.47,2021-10-15,06:44,N,nominal,2.0NRT,284.96,0.74,N
48.25164,-79.02518,295.33,0.47,0.47,2021-10-15,06:44,N,nominal,2.0NRT,284.59,0.49,N
43.86404,-79.49965,305.28,0.44,0.46,2021-10-15,06:44,N,nominal,2.0NRT,285.81,1.25,N
39.47965,-84.37901,311.91,0.35,0.57,2021-10-15,06:46,N,nominal,2.0NRT,286.95,0.93,N
40.23188,-76.83541,299.04,0.46,0.39,2021-10-15,06:46,N,nominal,2.0NRT,286.91,0.7,N
40.17388,-75.88782,296.28,0.43,0.38,2021-10-15,06:46,N,nominal,2.0NRT,276.56,0.6,N
40.75688,-81.43295,299.56,0.51,0.49,2021-10-15,06:46,N,nominal,2.0NRT,286.73,0.85,N
40.75736,-81.43911,303.66,0.51,0.49,2021-10-15,06:46,N,nominal,2.0NRT,284.24,1.17,N
43.49321,-79.62331,303.49,0.44,0.46,2021-10-15,06:46,N,nominal,2.0NRT,286.86,0.82,N
43.29371,-79.98637,304.84,0.46,0.47,2021-10-15,06:46,N,nominal,2.0NRT,286.6,0.83,N
41.79965,-75.82661,295.68,0.44,0.39,2021-10-15,06:46,N,nominal,2.0NRT,285.08,0.56,N
40.73383,-73.94441,299.27,0.39,0.36,2021-10-15,06:46,N,nominal,2.0NRT,286.03,0.46,N
40.6379,-74.22063,307.84,0.4,0.37,2021-10-15,06:46,N,nominal,2.0NRT,291.37,1.37,N
40.63723,-74.21597,303.11,0.4,0.37,2021-10-15,06:46,N,nominal,2.0NRT,287.67,0.75,N
40.63522,-74.22613,298.98,0.4,0.37,2021-10-15,06:46,N,nominal,2.0NRT,287.52,1.19,N
40.62921,-74.20829,299.68,0.4,0.37,2021-10-15,06:46,N,nominal,2.0NRT,287.54,0.66,N
40.48188,-74.32478,305.14,0.4,0.37,2021-10-15,06:46,N,nominal,2.0NRT,285.27,0.54,N
