latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.40149,-155.28268,332.41,0.55,0.68,2021-10-28,00:22,N,nominal,2.0NRT,300.11,71.56,D
19.40101,-155.28833,367,0.55,0.68,2021-10-28,00:22,N,high,2.0NRT,325.3,71.56,D
19.40684,-155.29515,208,0.55,0.68,2021-10-28,00:22,N,low,2.0NRT,307.73,141.32,D
19.40787,-155.28328,340.19,0.55,0.68,2021-10-28,00:22,N,nominal,2.0NRT,305.44,110.61,D
19.3997,-155.28407,330,0.55,0.68,2021-10-28,00:22,N,nominal,2.0NRT,299.29,9.41,D
19.39918,-155.28972,367,0.55,0.68,2021-10-28,00:22,N,high,2.0NRT,301.88,9.41,D
19.40737,-155.28906,367,0.55,0.68,2021-10-28,00:22,N,high,2.0NRT,326.7,110.61,D
19.4005,-155.2942,345.48,0.55,0.68,2021-10-28,00:22,N,nominal,2.0NRT,304.72,57.5,D
41.43604,-75.59769,300.6,0.48,0.65,2021-10-28,06:01,N,nominal,2.0NRT,277.4,1.17,N
39.93768,-76.81933,298.88,0.55,0.68,2021-10-28,06:01,N,nominal,2.0NRT,279.67,1.18,N
39.82256,-75.40327,295.97,0.46,0.63,2021-10-28,06:01,N,nominal,2.0NRT,283.59,0.94,N
39.58811,-75.63486,297.76,0.47,0.64,2021-10-28,06:01,N,nominal,2.0NRT,284.08,1.58,N
40.4823,-74.3236,295.45,0.41,0.6,2021-10-28,06:01,N,nominal,2.0NRT,280.83,0.54,N
40.63569,-74.22262,300.81,0.4,0.6,2021-10-28,06:01,N,nominal,2.0NRT,284.42,0.93,N
40.8886,-77.71162,304.46,0.61,0.71,2021-10-28,06:01,N,nominal,2.0NRT,277.68,1.69,N
40.89132,-77.71561,303.81,0.61,0.71,2021-10-28,06:01,N,nominal,2.0NRT,278.41,2.63,N
40.89528,-77.71167,299.83,0.61,0.71,2021-10-28,06:01,N,nominal,2.0NRT,277.37,1.19,N
26.45443,-77.075,300.91,0.44,0.62,2021-10-28,06:05,N,nominal,2.0NRT,290.05,1.86,N
