latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
30.28442,-81.98054,309.67,0.76,0.77,2022-01-05,06:09,N,nominal,2.0NRT,282.34,2.24,N
28.86825,-81.48303,297.48,0.69,0.74,2022-01-05,06:12,N,nominal,2.0NRT,283.93,0.86,N
17.96884,-76.79733,315.55,0.54,0.51,2022-01-05,06:14,N,nominal,2.0NRT,292.37,1.32,N
18.27359,-78.0927,302.01,0.33,0.55,2022-01-05,06:14,N,nominal,2.0NRT,290.47,0.45,N
18.27872,-78.092,318.48,0.33,0.55,2022-01-05,06:14,N,nominal,2.0NRT,290.37,0.79,N
18.25201,-71.71391,300.42,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,284.46,1.35,N
18.25664,-71.72134,296.45,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,283.19,0.46,N
18.25711,-71.70012,304.72,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,283.13,1.13,N
18.2589,-71.71242,302.8,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,283.76,1.24,N
18.26293,-71.71574,309.81,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,282.41,1.24,N
18.26638,-71.71502,325.32,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,285.71,2.9,N
18.28315,-71.73257,297.37,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,282.08,0.78,N
18.48746,-69.23885,301.37,0.38,0.36,2022-01-05,06:14,N,nominal,2.0NRT,290.33,0.31,N
18.6147,-69.29565,300.44,0.38,0.36,2022-01-05,06:14,N,nominal,2.0NRT,289.22,0.44,N
19.10036,-71.68207,300.05,0.43,0.38,2022-01-05,06:14,N,nominal,2.0NRT,289.42,0.57,N
18.92615,-70.35271,336.81,0.4,0.37,2022-01-05,06:14,N,nominal,2.0NRT,297.53,25.53,N
18.92672,-70.35648,320.61,0.4,0.37,2022-01-05,06:14,N,nominal,2.0NRT,290.87,9.57,N
18.93008,-70.35596,310.25,0.4,0.37,2022-01-05,06:14,N,nominal,2.0NRT,291.26,2.48,N
18.92951,-70.3522,330.47,0.4,0.37,2022-01-05,06:14,N,nominal,2.0NRT,293.47,3.27,N
19.04922,-71.10997,313.02,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.49,1.97,N
19.05035,-71.1177,300.91,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,280.05,1.49,N
19.05205,-71.10548,318.13,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,278.95,1.97,N
19.05319,-71.11323,318.62,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,280.02,1.49,N
19.05545,-71.10483,321.97,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.24,1.85,N
19.05885,-71.10417,307.57,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.18,1.85,N
19.06233,-71.12778,324.05,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,281.51,2.14,N
19.05786,-71.10159,299.4,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,276.81,0.71,N
19.06123,-71.12512,316.97,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,280.47,2.13,N
19.06182,-71.12923,304.21,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.47,0.96,N
19.06126,-71.10095,314.85,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,277.51,0.71,N
19.06522,-71.12855,296.98,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,278.78,0.96,N
19.06804,-71.12373,316.96,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.93,3.35,N
19.06863,-71.12785,311.86,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.12,1.26,N
19.06979,-71.11165,308.03,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,278.47,1.6,N
19.07034,-71.11538,318.89,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,279.27,1.6,N
19.07088,-71.11912,335.5,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,280.63,3.35,N
19.07145,-71.12307,331.16,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,281.05,3.35,N
19.07431,-71.11864,312.58,0.41,0.37,2022-01-05,06:14,N,nominal,2.0NRT,277.57,1.12,N
20.28477,-76.96101,302.93,0.59,0.53,2022-01-05,06:14,N,nominal,2.0NRT,288.69,1.12,N
20.37835,-76.97757,322.27,0.6,0.53,2022-01-05,06:14,N,nominal,2.0NRT,289.23,2.48,N
20.40237,-76.70437,320.49,0.57,0.52,2022-01-05,06:14,N,nominal,2.0NRT,290,3.1,N
20.83039,-76.50339,298.6,0.56,0.52,2022-01-05,06:14,N,nominal,2.0NRT,287.81,0.67,N
21.33022,-78.19281,306.66,0.37,0.58,2022-01-05,06:14,N,nominal,2.0NRT,289.28,0.98,N
22.05619,-78.39849,312.1,0.38,0.59,2022-01-05,06:14,N,nominal,2.0NRT,288.79,1.01,N
22.05656,-78.40229,305.59,0.38,0.59,2022-01-05,06:14,N,nominal,2.0NRT,288.37,1.01,N
17.96695,-76.79915,313.53,0.54,0.51,2022-01-05,06:14,N,nominal,2.0NRT,292.56,2.02,N
42.76553,-82.4509,319.65,0.5,0.41,2022-01-05,07:48,N,nominal,2.0NRT,271.36,1.51,N
41.17822,-87.85396,301.4,0.38,0.36,2022-01-05,07:48,N,nominal,2.0NRT,269.58,1.48,N
41.17895,-87.8585,326.1,0.38,0.36,2022-01-05,07:48,N,nominal,2.0NRT,271.39,2.89,N
40.80731,-84.86742,296.12,0.44,0.38,2022-01-05,07:48,N,nominal,2.0NRT,271.78,0.53,N
41.41394,-88.18319,300.36,0.38,0.36,2022-01-05,07:48,N,nominal,2.0NRT,275.74,1.07,N
41.36702,-86.92657,326.14,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,271.48,2.98,N
41.36779,-86.93118,325.45,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,272.06,3.43,N
41.11996,-85.35209,324.29,0.42,0.38,2022-01-05,07:48,N,nominal,2.0NRT,273.39,2.91,N
41.65819,-87.6214,301.47,0.38,0.36,2022-01-05,07:48,N,nominal,2.0NRT,273.07,0.95,N
41.61388,-87.32734,331.64,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,275,4.5,N
41.61716,-87.32638,324.01,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,274.19,4.5,N
41.61791,-87.33096,343.55,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,274.94,4.5,N
41.6212,-87.33001,297.67,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,273.98,1.14,N
41.62719,-87.36668,313.2,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,271.7,1.75,N
41.64048,-87.40604,327.95,0.39,0.36,2022-01-05,07:48,N,nominal,2.0NRT,276.16,3.17,N
