latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.5142,-84.3929,299.03,0.47,0.64,2021-10-26,06:37,N,nominal,2.0NRT,271.42,1.94,N
46.51435,-84.3992,305.99,0.47,0.64,2021-10-26,06:37,N,nominal,2.0NRT,271.71,1.79,N
46.51978,-84.37336,302.02,0.47,0.64,2021-10-26,06:37,N,nominal,2.0NRT,273.93,2.01,N
46.51575,-84.3933,301.72,0.47,0.64,2021-10-26,06:37,N,nominal,2.0NRT,271.39,1.17,N
46.51586,-84.39962,304.14,0.47,0.64,2021-10-26,06:37,N,nominal,2.0NRT,271.66,1.17,N
48.18667,-64.92331,299.37,0.42,0.38,2021-10-26,06:37,N,nominal,2.0NRT,275.37,0.66,N
41.3727,-84.92191,300.88,0.47,0.64,2021-10-26,06:40,N,nominal,2.0NRT,277.72,2.1,N
36.11652,-77.61957,305.24,0.52,0.42,2021-10-26,06:40,N,nominal,2.0NRT,287.31,1.4,N
42.94704,-82.41802,295.94,0.36,0.57,2021-10-26,06:40,N,nominal,2.0NRT,278.88,1.26,N
36.46003,-79.5363,297.21,0.44,0.46,2021-10-26,06:40,N,nominal,2.0NRT,283.85,0.4,N
36.46429,-79.53566,307.29,0.44,0.46,2021-10-26,06:40,N,nominal,2.0NRT,284.12,0.75,N
36.95875,-79.0965,296.49,0.42,0.45,2021-10-26,06:40,N,nominal,2.0NRT,283.42,0.44,N
38.99923,-87.7282,296.76,0.64,0.72,2021-10-26,06:40,N,nominal,2.0NRT,280.44,1.36,N
41.3667,-84.92233,315.55,0.47,0.64,2021-10-26,06:40,N,nominal,2.0NRT,276.58,2.1,N
33.10725,-86.80408,300.32,0.52,0.67,2021-10-26,06:42,N,nominal,2.0NRT,283.73,1.35,N
33.101,-86.80461,297.97,0.52,0.67,2021-10-26,06:42,N,nominal,2.0NRT,283.77,1.87,N
33.09072,-86.806,300.21,0.52,0.67,2021-10-26,06:42,N,nominal,2.0NRT,284.49,1.42,N
32.45894,-83.0442,302.7,0.62,0.54,2021-10-26,06:42,N,nominal,2.0NRT,289.29,1.74,N
32.45839,-83.03745,309.37,0.62,0.54,2021-10-26,06:42,N,nominal,2.0NRT,289.09,1.96,N
32.23315,-82.75362,306.05,0.59,0.53,2021-10-26,06:42,N,nominal,2.0NRT,289.6,1.27,N
32.22824,-82.75411,300.77,0.59,0.53,2021-10-26,06:42,N,nominal,2.0NRT,289.4,1.41,N
32.18627,-84.11828,301.39,0.36,0.57,2021-10-26,06:42,N,nominal,2.0NRT,289.77,0.62,N
31.14802,-87.98999,314.49,0.59,0.7,2021-10-26,06:42,N,nominal,2.0NRT,289.46,1.51,N
31.8068,-83.45951,301.11,0.32,0.55,2021-10-26,06:42,N,nominal,2.0NRT,288.96,0.48,N
31.15003,-87.9877,316.6,0.59,0.7,2021-10-26,06:42,N,nominal,2.0NRT,290.12,3.38,N
30.94225,-88.01569,313.46,0.59,0.7,2021-10-26,06:42,N,nominal,2.0NRT,289.89,1.84,N
30.93764,-88.01751,305.81,0.59,0.7,2021-10-26,06:42,N,nominal,2.0NRT,288.72,1.26,N
32.08758,-86.87292,296.8,0.52,0.66,2021-10-26,06:42,N,nominal,2.0NRT,285.25,0.32,N
33.96066,-83.82024,297.34,0.36,0.57,2021-10-26,06:42,N,nominal,2.0NRT,275.38,0.31,N
33.87227,-83.60011,295.84,0.35,0.56,2021-10-26,06:42,N,nominal,2.0NRT,284.05,0.26,N
33.54318,-86.80868,305.73,0.52,0.67,2021-10-26,06:42,N,nominal,2.0NRT,283.27,1.32,N
33.0136,-79.8866,339.01,0.42,0.45,2021-10-26,06:42,N,nominal,2.0NRT,292.78,6.31,N
33.00432,-79.87885,311.68,0.42,0.45,2021-10-26,06:42,N,nominal,2.0NRT,292.62,1.39,N
33.44025,-88.57556,310.43,0.66,0.73,2021-10-26,06:42,N,nominal,2.0NRT,283.33,2.33,N
33.44002,-88.5729,315.26,0.66,0.73,2021-10-26,06:42,N,nominal,2.0NRT,283.34,3.54,N
33.15913,-84.25103,296.36,0.37,0.58,2021-10-26,06:42,N,nominal,2.0NRT,284.05,0.58,N
33.21681,-86.79275,300.68,0.52,0.67,2021-10-26,06:42,N,nominal,2.0NRT,283.64,0.61,N
33.23574,-87.51247,295.19,0.57,0.69,2021-10-26,06:42,N,nominal,2.0NRT,284.95,1.54,N
33.2295,-87.51936,306.81,0.57,0.69,2021-10-26,06:42,N,nominal,2.0NRT,284.03,3.28,N
33.22925,-87.51303,310.9,0.57,0.69,2021-10-26,06:42,N,nominal,2.0NRT,283.54,1.54,N
33.22991,-87.51466,327.71,0.57,0.69,2021-10-26,06:42,N,nominal,2.0NRT,284.17,4.08,N
35.34215,-80.82776,296.11,0.5,0.49,2021-10-26,06:42,N,nominal,2.0NRT,285.8,0.56,N
35.0387,-80.89551,300,0.5,0.49,2021-10-26,06:42,N,nominal,2.0NRT,286.48,0.49,N
34.1694,-79.20415,319.05,0.4,0.44,2021-10-26,06:42,N,nominal,2.0NRT,291.31,1.18,N
34.4503,-83.44116,297.76,0.34,0.56,2021-10-26,06:42,N,nominal,2.0NRT,283.08,0.47,N
34.19117,-83.64928,314.93,0.35,0.57,2021-10-26,06:42,N,nominal,2.0NRT,282.72,0.89,N
31.80904,-83.4587,299.1,0.32,0.55,2021-10-26,06:42,N,nominal,2.0NRT,288.4,0.53,N
31.79887,-83.45992,327.82,0.32,0.55,2021-10-26,06:42,N,nominal,2.0NRT,290.14,1.94,N
31.72727,-84.00883,301.92,0.35,0.57,2021-10-26,06:42,N,nominal,2.0NRT,289.37,0.77,N
31.7896,-89.88202,298.14,0.76,0.77,2021-10-26,06:42,N,nominal,2.0NRT,285.66,0.94,N
31.15457,-87.98948,301.1,0.59,0.7,2021-10-26,06:42,N,nominal,2.0NRT,288.9,1.51,N
27.53803,-80.96119,306.56,0.41,0.45,2021-10-26,06:44,N,nominal,2.0NRT,293.75,0.5,N
29.98272,-81.38023,302.42,0.47,0.47,2021-10-26,06:44,N,nominal,2.0NRT,291.77,0.2,N
30.33996,-88.49366,302.67,0.62,0.71,2021-10-26,06:44,N,nominal,2.0NRT,292.28,2.82,N
30.34389,-88.49117,304.29,0.62,0.71,2021-10-26,06:44,N,nominal,2.0NRT,292.17,1.84,N
29.14677,-81.89689,304.81,0.49,0.48,2021-10-26,06:44,N,nominal,2.0NRT,292.57,0.7,N
28.34946,-82.56723,304.17,0.52,0.5,2021-10-26,06:44,N,nominal,2.0NRT,293.07,0.59,N
27.86218,-82.60355,305.72,0.52,0.5,2021-10-26,06:44,N,nominal,2.0NRT,293.65,1.42,N
27.85756,-82.60414,305.8,0.52,0.5,2021-10-26,06:44,N,nominal,2.0NRT,293.5,1.25,N
18.92807,-70.35738,304.3,0.48,0.48,2021-10-26,06:46,N,nominal,2.0NRT,291.83,5.47,N
20.9439,-89.66396,300.23,0.6,0.71,2021-10-26,06:46,N,nominal,2.0NRT,281.5,1.09,N
18.93139,-70.35404,307.6,0.48,0.48,2021-10-26,06:46,N,nominal,2.0NRT,292.01,6.07,N
18.92706,-70.35524,343.74,0.48,0.48,2021-10-26,06:46,N,nominal,2.0NRT,294.02,6.07,N
18.92722,-70.35292,339.41,0.48,0.48,2021-10-26,06:46,N,nominal,2.0NRT,294.42,7.42,N
46.52157,-84.39277,302.44,0.49,0.49,2021-10-26,08:18,N,nominal,2.0NRT,271.7,1.01,N
48.37427,-89.40513,306.16,0.44,0.38,2021-10-26,08:18,N,nominal,2.0NRT,271.37,1.01,N
46.51732,-84.39505,300.06,0.49,0.49,2021-10-26,08:18,N,nominal,2.0NRT,272.04,1.09,N
46.52118,-84.3721,309.38,0.49,0.49,2021-10-26,08:18,N,nominal,2.0NRT,273.78,2.53,N
42.07806,-97.35837,302.76,0.39,0.36,2021-10-26,08:20,N,nominal,2.0NRT,277.01,1.01,N
39.97811,-86.8355,323.34,0.55,0.51,2021-10-26,08:20,N,nominal,2.0NRT,278.53,3.48,N
39.97356,-86.83742,315.62,0.55,0.51,2021-10-26,08:20,N,nominal,2.0NRT,276.97,3.48,N
41.00523,-96.15368,312.04,0.38,0.36,2021-10-26,08:20,N,nominal,2.0NRT,279.8,1.43,N
46.73066,-92.0746,301.62,0.4,0.37,2021-10-26,08:20,N,nominal,2.0NRT,271.78,1.51,N
42.14317,-89.08009,298.38,0.39,0.44,2021-10-26,08:20,N,nominal,2.0NRT,274.17,0.52,N
42.50117,-93.67416,306.79,0.4,0.37,2021-10-26,08:20,N,nominal,2.0NRT,272.03,1.1,N
41.41562,-88.18508,296.29,0.44,0.46,2021-10-26,08:20,N,nominal,2.0NRT,282.24,1.56,N
41.62634,-87.1421,308.8,0.49,0.48,2021-10-26,08:20,N,nominal,2.0NRT,274.38,1.13,N
40.7327,-86.43317,300.9,0.56,0.51,2021-10-26,08:20,N,nominal,2.0NRT,278.45,1.31,N
41.48284,-90.82227,297.51,0.5,0.41,2021-10-26,08:20,N,nominal,2.0NRT,276.9,4.13,N
41.46156,-90.68227,300.53,0.51,0.41,2021-10-26,08:20,N,nominal,2.0NRT,280.85,1.59,N
41.63789,-87.13088,295.82,0.49,0.48,2021-10-26,08:20,N,nominal,2.0NRT,269.59,2.16,N
41.4804,-90.82953,329,0.5,0.41,2021-10-26,08:20,N,nominal,2.0NRT,277.66,4.13,N
41.46213,-90.68262,297.45,0.51,0.41,2021-10-26,08:20,N,nominal,2.0NRT,278.61,1.39,N
41.48276,-90.82296,296.87,0.5,0.41,2021-10-26,08:20,N,nominal,2.0NRT,277,1.42,N
41.48029,-90.83023,339.88,0.5,0.41,2021-10-26,08:20,N,nominal,2.0NRT,276.56,11.15,N
40.93122,-88.65453,305.32,0.43,0.46,2021-10-26,08:20,N,nominal,2.0NRT,275.59,0.73,N
42.08357,-97.36428,317.86,0.39,0.36,2021-10-26,08:20,N,nominal,2.0NRT,278.83,1.66,N
42.07957,-97.36041,308.41,0.39,0.36,2021-10-26,08:20,N,nominal,2.0NRT,278.59,1.66,N
33.21704,-86.78988,297.46,0.41,0.61,2021-10-26,08:22,N,nominal,2.0NRT,282.45,0.37,N
32.23042,-82.7558,306.96,0.71,0.75,2021-10-26,08:22,N,nominal,2.0NRT,287.64,1.37,N
32.22955,-82.75886,301.05,0.71,0.75,2021-10-26,08:22,N,nominal,2.0NRT,287.54,1.11,N
33.4811,-86.93354,295.26,0.4,0.6,2021-10-26,08:22,N,nominal,2.0NRT,281.9,0.44,N
33.48645,-86.93163,298.97,0.4,0.6,2021-10-26,08:22,N,nominal,2.0NRT,282.22,0.58,N
33.48207,-86.93542,296.3,0.39,0.6,2021-10-26,08:22,N,nominal,2.0NRT,281.41,1.09,N
33.58132,-86.77906,301.4,0.4,0.6,2021-10-26,08:22,N,nominal,2.0NRT,282.94,1.17,N
35.49443,-94.30386,299.78,0.46,0.39,2021-10-26,08:22,N,nominal,2.0NRT,284.97,0.55,N
35.41166,-93.7749,297.46,0.48,0.4,2021-10-26,08:22,N,nominal,2.0NRT,284.59,0.5,N
35.79083,-95.33039,301.59,0.42,0.38,2021-10-26,08:22,N,nominal,2.0NRT,284.99,0.59,N
36.51908,-97.83667,301.57,0.38,0.36,2021-10-26,08:22,N,nominal,2.0NRT,288.93,0.75,N
35.06938,-90.1436,295.42,0.49,0.48,2021-10-26,08:22,N,nominal,2.0NRT,281.86,0.73,N
36.66187,-97.06921,303.85,0.39,0.36,2021-10-26,08:22,N,nominal,2.0NRT,285.19,0.74,N
35.79537,-91.74682,310.02,0.39,0.44,2021-10-26,08:22,N,nominal,2.0NRT,282.17,1.88,N
