latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
33.01231,-79.88658,326.62,0.39,0.6,2021-12-30,06:22,N,nominal,2.0NRT,287.73,3.56,N
33.00623,-79.8785,299.27,0.39,0.59,2021-12-30,06:22,N,nominal,2.0NRT,286.67,2.43,N
28.70439,-82.05015,316.84,0.48,0.65,2021-12-30,06:24,N,nominal,2.0NRT,289.5,1.53,N
28.69835,-82.05068,306.59,0.48,0.65,2021-12-30,06:24,N,nominal,2.0NRT,288.91,1.53,N
26.53307,-81.08166,306.65,0.4,0.6,2021-12-30,06:24,N,nominal,2.0NRT,289.77,1.03,N
20.98833,-77.43905,326.9,0.41,0.45,2021-12-30,06:26,N,nominal,2.0NRT,292.6,3.45,N
22.18634,-80.5304,312.51,0.33,0.55,2021-12-30,06:26,N,nominal,2.0NRT,291.16,0.77,N
22.18367,-80.53066,319.19,0.33,0.55,2021-12-30,06:26,N,nominal,2.0NRT,292.39,1.91,N
22.94106,-81.63608,302.47,0.4,0.6,2021-12-30,06:26,N,nominal,2.0NRT,289.56,0.57,N
23.14765,-81.88086,303.99,0.41,0.61,2021-12-30,06:26,N,nominal,2.0NRT,291.16,1.08,N
23.10925,-81.27299,302.25,0.38,0.59,2021-12-30,06:26,N,nominal,2.0NRT,290.96,0.5,N
18.48945,-77.79385,303.49,0.4,0.44,2021-12-30,06:26,N,nominal,2.0NRT,292.08,0.63,N
18.24432,-71.69472,315.59,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,285.7,1.5,N
18.24763,-71.69418,296.35,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,284.45,0.52,N
18.24822,-71.6978,295.71,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,284.32,0.52,N
18.31731,-71.98048,300.21,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,283.21,0.58,N
18.32061,-71.97995,316.19,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,285.07,1.02,N
18.32177,-71.98721,301.74,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,281.71,1.55,N
18.32392,-71.9794,297.67,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,282.3,1.02,N
18.3245,-71.98303,303.06,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,280.97,1.02,N
18.32508,-71.98666,327.47,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,284.28,1.55,N
18.32838,-71.98612,303.07,0.39,0.36,2021-12-30,06:26,N,nominal,2.0NRT,280.82,0.58,N
18.90861,-72.35891,320.48,0.38,0.36,2021-12-30,06:26,N,nominal,2.0NRT,292.17,1.28,N
18.91191,-72.35834,314.48,0.38,0.36,2021-12-30,06:26,N,nominal,2.0NRT,292.34,1.28,N
19.10572,-72.38533,323.17,0.38,0.36,2021-12-30,06:26,N,nominal,2.0NRT,293.39,1.12,N
18.92602,-70.35181,330.08,0.41,0.37,2021-12-30,06:26,N,nominal,2.0NRT,292.23,4.45,N
18.92941,-70.35113,321.14,0.41,0.37,2021-12-30,06:26,N,nominal,2.0NRT,291.99,4.01,N
18.93005,-70.35493,329.66,0.41,0.37,2021-12-30,06:26,N,nominal,2.0NRT,294.75,6.95,N
19.2031,-70.89987,297.29,0.4,0.37,2021-12-30,06:26,N,nominal,2.0NRT,285.04,0.36,N
20.99039,-77.44149,322.81,0.41,0.45,2021-12-30,06:26,N,nominal,2.0NRT,292.14,3.28,N
19.13874,-72.37959,305.8,0.38,0.36,2021-12-30,06:26,N,nominal,2.0NRT,293.07,0.71,N
18.92666,-70.35563,329.95,0.41,0.37,2021-12-30,06:26,N,nominal,2.0NRT,291.98,6.94,N
45.07135,-83.40543,306.96,0.55,0.43,2021-12-30,08:00,N,nominal,2.0NRT,270.37,1.98,N
46.57769,-80.7916,333.27,0.44,0.46,2021-12-30,08:00,N,nominal,2.0NRT,265.98,3.75,N
45.07117,-83.406,304.67,0.55,0.43,2021-12-30,08:00,N,nominal,2.0NRT,269.34,2.45,N
37.97053,-81.32078,297.35,0.34,0.56,2021-12-30,08:02,N,nominal,2.0NRT,279.42,0.38,N
37.91594,-80.89655,304.65,0.36,0.57,2021-12-30,08:02,N,nominal,2.0NRT,280,0.51,N
38.30642,-80.87295,295.1,0.35,0.57,2021-12-30,08:02,N,nominal,2.0NRT,273.72,1.06,N
