latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
30.28171,-81.97835,300.75,0.63,0.54,2021-12-08,06:35,N,nominal,2.0NRT,285.93,1.41,N
30.28095,-81.97674,305.23,0.63,0.54,2021-12-08,06:35,N,nominal,2.0NRT,286.09,1.03,N
22.9904,-80.64817,302.15,0.43,0.46,2021-12-08,06:37,N,nominal,2.0NRT,291.79,0.73,N
23.00949,-82.7466,304.21,0.58,0.52,2021-12-08,06:37,N,nominal,2.0NRT,292.92,2.42,N
22.69682,-83.59198,303.37,0.33,0.55,2021-12-08,06:37,N,nominal,2.0NRT,289.39,0.31,N
22.69406,-83.59182,300.07,0.33,0.55,2021-12-08,06:37,N,nominal,2.0NRT,289.11,0.29,N
22.18451,-80.52874,315.58,0.41,0.45,2021-12-08,06:37,N,nominal,2.0NRT,292.88,1.94,N
22.15499,-80.31834,304.33,0.4,0.44,2021-12-08,06:37,N,nominal,2.0NRT,292.69,0.52,N
23.08546,-81.26697,302.41,0.47,0.48,2021-12-08,06:37,N,nominal,2.0NRT,291.63,1.24,N
22.99091,-80.65238,312.81,0.43,0.46,2021-12-08,06:37,N,nominal,2.0NRT,291.63,1.72,N
28.57391,-87.93716,355.14,0.69,0.74,2021-12-08,06:37,N,nominal,2.0NRT,287.91,12.85,N
28.57358,-87.9298,306.94,0.69,0.74,2021-12-08,06:37,N,nominal,2.0NRT,288.17,3.67,N
28.57487,-87.93592,348.04,0.69,0.74,2021-12-08,06:37,N,nominal,2.0NRT,287.83,4.46,N
28.57523,-87.94326,305.68,0.69,0.74,2021-12-08,06:37,N,nominal,2.0NRT,287.83,7.33,N
28.5745,-87.92858,303.52,0.69,0.74,2021-12-08,06:37,N,nominal,2.0NRT,287.83,4.46,N
28.52116,-88.29453,339,0.72,0.76,2021-12-08,06:37,N,nominal,2.0NRT,287.44,6.26,N
28.52082,-88.28681,301.13,0.72,0.76,2021-12-08,06:37,N,nominal,2.0NRT,286.8,2.75,N
27.80078,-82.40813,303.12,0.63,0.54,2021-12-08,06:37,N,nominal,2.0NRT,289.4,1.52,N
26.2766,-80.15936,299.79,0.44,0.46,2021-12-08,06:37,N,nominal,2.0NRT,289.71,0.45,N
23.08514,-81.27003,303.05,0.47,0.48,2021-12-08,06:37,N,nominal,2.0NRT,291.81,1.16,N
21.30101,-77.74771,310.83,0.44,0.38,2021-12-08,06:39,N,nominal,2.0NRT,291.46,1.13,N
18.41492,-70.71217,306.31,0.56,0.43,2021-12-08,06:39,N,nominal,2.0NRT,292,1.43,N
18.41886,-70.71143,304.58,0.56,0.43,2021-12-08,06:39,N,nominal,2.0NRT,292.46,0.8,N
18.92544,-70.35397,300.25,0.39,0.44,2021-12-08,06:39,N,nominal,2.0NRT,288.07,0.57,N
18.92934,-70.35277,308.66,0.39,0.44,2021-12-08,06:39,N,nominal,2.0NRT,287.96,1.02,N
19.32414,-71.67788,301.06,0.48,0.4,2021-12-08,06:39,N,nominal,2.0NRT,287.82,0.53,N
19.45848,-70.7812,300.84,0.54,0.42,2021-12-08,06:39,N,nominal,2.0NRT,290.53,0.65,N
19.66963,-71.69872,317.57,0.48,0.4,2021-12-08,06:39,N,nominal,2.0NRT,291.46,1.61,N
19.67327,-71.69796,323.24,0.48,0.4,2021-12-08,06:39,N,nominal,2.0NRT,292.57,1.61,N
20.94552,-77.85652,313.5,0.44,0.38,2021-12-08,06:39,N,nominal,2.0NRT,293.14,1.34,N
21.30453,-77.74714,313.43,0.44,0.38,2021-12-08,06:39,N,nominal,2.0NRT,292.18,1.18,N
41.67228,-87.46281,298.81,0.4,0.44,2021-12-08,08:13,N,nominal,2.0NRT,264.19,1.26,N
41.61623,-87.32619,315.68,0.41,0.45,2021-12-08,08:13,N,nominal,2.0NRT,267.64,2.63,N
41.61729,-87.33095,326.56,0.41,0.45,2021-12-08,08:13,N,nominal,2.0NRT,267.27,2.63,N
46.43203,-112.33171,310.84,0.74,0.76,2021-12-08,08:13,N,nominal,2.0NRT,265.62,4.45,N
46.43325,-112.33344,304.4,0.75,0.77,2021-12-08,08:13,N,nominal,2.0NRT,265.36,3.59,N
47.5013,-103.06079,328.25,0.55,0.51,2021-12-08,08:13,N,nominal,2.0NRT,258.47,2.88,N
37.97254,-90.06494,296.77,0.54,0.42,2021-12-08,08:15,N,nominal,2.0NRT,271.39,1.36,N
38.82036,-90.01146,298.87,0.52,0.42,2021-12-08,08:15,N,nominal,2.0NRT,266.99,0.69,N
38.69633,-90.13105,301.15,0.52,0.42,2021-12-08,08:15,N,nominal,2.0NRT,274.64,1.38,N
38.00787,-90.07895,306.6,0.54,0.42,2021-12-08,08:15,N,nominal,2.0NRT,271.77,2.25,N
33.92089,-96.09744,295.07,0.39,0.36,2021-12-08,08:15,N,nominal,2.0NRT,269.78,0.86,N
33.02091,-96.96049,296.26,0.38,0.36,2021-12-08,08:15,N,nominal,2.0NRT,277.54,0.61,N
34.83701,-95.79737,295.26,0.39,0.36,2021-12-08,08:15,N,nominal,2.0NRT,268.21,0.53,N
