latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
18.334,-72.00391,300.27,0.71,0.75,2022-01-02,05:29,N,nominal,2.0NRT,283.95,2.41,N
18.92358,-70.35186,311.86,0.56,0.69,2022-01-02,05:29,N,nominal,2.0NRT,288.14,5.07,N
18.9301,-70.35252,341.38,0.56,0.69,2022-01-02,05:29,N,nominal,2.0NRT,287.86,5.07,N
18.92457,-70.35242,334.39,0.56,0.69,2022-01-02,05:29,N,nominal,2.0NRT,288.13,3.96,N
18.93106,-70.35291,328.92,0.56,0.69,2022-01-02,05:29,N,nominal,2.0NRT,287.18,3.96,N
19.24521,-71.69583,298.89,0.69,0.74,2022-01-02,05:29,N,nominal,2.0NRT,286.75,0.73,N
18.25317,-71.70696,303.37,0.67,0.74,2022-01-02,05:29,N,nominal,2.0NRT,285.49,3.35,N
18.25384,-71.71464,304.73,0.67,0.74,2022-01-02,05:29,N,nominal,2.0NRT,285.35,2.78,N
18.26836,-71.72212,302.38,0.68,0.74,2022-01-02,05:29,N,nominal,2.0NRT,283.03,3.57,N
18.26899,-71.72937,317.61,0.68,0.74,2022-01-02,05:29,N,nominal,2.0NRT,284.72,3.57,N
18.33319,-71.98203,300.62,0.7,0.75,2022-01-02,05:29,N,nominal,2.0NRT,282.43,1.28,N
18.335,-72.00248,301.63,0.71,0.75,2022-01-02,05:29,N,nominal,2.0NRT,284.18,2.58,N
18.26905,-71.72242,301.29,0.68,0.74,2022-01-02,05:29,N,nominal,2.0NRT,282.66,2.22,N
18.26964,-71.72966,315.72,0.68,0.74,2022-01-02,05:29,N,nominal,2.0NRT,284.46,4.48,N
18.33228,-71.98299,297.59,0.7,0.75,2022-01-02,05:29,N,nominal,2.0NRT,281.41,1.2,N
46.57785,-80.79086,335.71,0.5,0.41,2022-01-02,07:05,N,nominal,2.0NRT,251.69,4.56,N
33.01351,-79.8873,308.47,0.38,0.36,2022-01-02,07:05,N,nominal,2.0NRT,289.51,1.75,N
33.01287,-79.88321,325.6,0.38,0.36,2022-01-02,07:05,N,nominal,2.0NRT,290.24,1.53,N
33.08991,-80.34131,311.71,0.39,0.36,2022-01-02,07:05,N,nominal,2.0NRT,288.22,0.4,N
34.37619,-79.88825,306.4,0.39,0.36,2022-01-02,07:05,N,nominal,2.0NRT,283.49,0.73,N
35.5351,-79.24092,302.38,0.38,0.36,2022-01-02,07:05,N,nominal,2.0NRT,281.52,0.57,N
33.00172,-79.8772,300.08,0.38,0.36,2022-01-02,07:05,N,nominal,2.0NRT,289.77,0.64,N
31.16196,-87.98345,305.26,0.5,0.49,2022-01-02,07:07,N,nominal,2.0NRT,289.65,3.1,N
32.42994,-84.97466,301.45,0.53,0.42,2022-01-02,07:07,N,nominal,2.0NRT,291.23,0.75,N
30.86335,-91.04398,298.63,0.38,0.59,2022-01-02,07:07,N,nominal,2.0NRT,288.28,1.42,N
33.43855,-88.5692,301.42,0.58,0.52,2022-01-02,07:07,N,nominal,2.0NRT,281.48,0.79,N
33.43995,-88.57085,299.27,0.58,0.52,2022-01-02,07:07,N,nominal,2.0NRT,279.29,1.18,N
30.8685,-91.03943,301.57,0.38,0.59,2022-01-02,07:07,N,nominal,2.0NRT,288.76,1.57,N
30.0169,-81.63155,304.72,0.39,0.36,2022-01-02,07:07,N,nominal,2.0NRT,289.94,0.7,N
31.16112,-87.97907,315.99,0.5,0.49,2022-01-02,07:07,N,nominal,2.0NRT,289.83,3.28,N
26.06972,-82.29442,327.42,0.39,0.36,2022-01-02,07:07,N,nominal,2.0NRT,294.56,1.78,N
25.85771,-80.34533,304.12,0.39,0.37,2022-01-02,07:07,N,nominal,2.0NRT,292.96,0.56,N
25.4305,-76.75516,306.95,0.55,0.42,2022-01-02,07:07,N,nominal,2.0NRT,294,2.34,N
25.4313,-76.75957,313.77,0.55,0.42,2022-01-02,07:07,N,nominal,2.0NRT,293.48,1.88,N
26.27845,-80.15792,304.88,0.4,0.37,2022-01-02,07:07,N,nominal,2.0NRT,292.34,0.47,N
29.71613,-95.13287,305.49,0.65,0.73,2022-01-02,07:07,N,nominal,2.0NRT,288.71,1.46,N
29.44505,-90.31423,311.96,0.33,0.55,2022-01-02,07:07,N,nominal,2.0NRT,287.53,0.97,N
29.81764,-95.23663,305.39,0.66,0.73,2022-01-02,07:07,N,nominal,2.0NRT,285.84,2.4,N
28.73953,-82.36738,310.31,0.4,0.37,2022-01-02,07:07,N,nominal,2.0NRT,291.51,1.01,N
29.93389,-89.97206,301.39,0.32,0.54,2022-01-02,07:07,N,nominal,2.0NRT,289.88,1.28,N
30.00167,-90.40211,300.36,0.34,0.56,2022-01-02,07:07,N,nominal,2.0NRT,289.27,2.58,N
30.00197,-90.40568,300.68,0.34,0.56,2022-01-02,07:07,N,nominal,2.0NRT,288.26,2.22,N
30.00234,-90.40279,299.77,0.34,0.56,2022-01-02,07:07,N,nominal,2.0NRT,288.6,2.12,N
29.23461,-82.4368,302.85,0.4,0.37,2022-01-02,07:07,N,nominal,2.0NRT,289.49,0.43,N
30.34245,-88.48615,307.35,0.53,0.5,2022-01-02,07:07,N,nominal,2.0NRT,293.33,2.13,N
30.58498,-91.24261,302.41,0.39,0.59,2022-01-02,07:07,N,nominal,2.0NRT,284.58,1.38,N
30.58455,-91.24135,302.52,0.39,0.59,2022-01-02,07:07,N,nominal,2.0NRT,284.96,1.35,N
31.16147,-87.97814,305.88,0.5,0.49,2022-01-02,07:07,N,nominal,2.0NRT,289.31,0.96,N
