latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
41.39312,-75.73615,296.56,0.33,0.56,2021-12-09,06:14,N,nominal,2.0NRT,268.96,0.62,N
41.43322,-75.59402,305.16,0.33,0.55,2021-12-09,06:14,N,nominal,2.0NRT,267.07,0.68,N
43.25916,-79.80657,300.38,0.55,0.68,2021-12-09,06:14,N,nominal,2.0NRT,266.14,2.74,N
43.26011,-79.80759,313.49,0.55,0.68,2021-12-09,06:14,N,nominal,2.0NRT,267.79,1.88,N
43.27295,-79.80711,295.24,0.55,0.68,2021-12-09,06:14,N,nominal,2.0NRT,269.63,2.46,N
40.39504,-79.85793,314.19,0.54,0.68,2021-12-09,06:14,N,nominal,2.0NRT,271.12,2.33,N
37.232,-82.03801,307.81,0.68,0.74,2021-12-09,06:16,N,nominal,2.0NRT,271.79,2.03,N
33.00576,-79.87704,298.65,0.48,0.65,2021-12-09,06:16,N,nominal,2.0NRT,280.59,1.32,N
33.01236,-79.88716,322.18,0.48,0.65,2021-12-09,06:16,N,nominal,2.0NRT,281.15,3.04,N
33.96437,-81.05029,295.41,0.57,0.69,2021-12-09,06:16,N,nominal,2.0NRT,277.56,1.16,N
35.37916,-79.21997,299.82,0.46,0.64,2021-12-09,06:16,N,nominal,2.0NRT,273.87,0.98,N
38.19627,-77.98369,303.67,0.41,0.61,2021-12-09,06:16,N,nominal,2.0NRT,267.64,0.98,N
37.38023,-80.66405,297.98,0.57,0.69,2021-12-09,06:16,N,nominal,2.0NRT,270.59,1.6,N
28.70206,-82.04847,299.05,0.59,0.7,2021-12-09,06:18,N,nominal,2.0NRT,285.93,1.05,N
28.61831,-81.50373,297.5,0.55,0.68,2021-12-09,06:18,N,nominal,2.0NRT,286.51,0.63,N
26.79237,-80.3496,297.72,0.45,0.63,2021-12-09,06:18,N,nominal,2.0NRT,286.83,0.7,N
26.45523,-77.0772,318.33,0.56,0.51,2021-12-09,06:18,N,nominal,2.0NRT,290.47,3.02,N
28.70051,-82.05013,300.29,0.59,0.7,2021-12-09,06:18,N,nominal,2.0NRT,285.95,1.59,N
28.70243,-82.05479,298.76,0.59,0.7,2021-12-09,06:18,N,nominal,2.0NRT,285.88,1.42,N
22.62523,-82.99641,309.01,0.6,0.7,2021-12-09,06:20,N,nominal,2.0NRT,290.31,1.71,N
22.18708,-80.52826,302.2,0.41,0.61,2021-12-09,06:20,N,nominal,2.0NRT,290.88,0.7,N
22.18425,-80.53121,310.39,0.41,0.61,2021-12-09,06:20,N,nominal,2.0NRT,291.51,1.18,N
21.09571,-78.3234,301.45,0.58,0.52,2021-12-09,06:20,N,nominal,2.0NRT,291.3,1.24,N
21.09149,-78.32967,341.33,0.58,0.52,2021-12-09,06:20,N,nominal,2.0NRT,292.59,5.35,N
21.09211,-78.3353,309.08,0.58,0.52,2021-12-09,06:20,N,nominal,2.0NRT,291.65,5.35,N
19.67479,-71.69993,312.79,0.39,0.36,2021-12-09,06:20,N,nominal,2.0NRT,291.61,0.91,N
18.93101,-70.35336,302.69,0.39,0.36,2021-12-09,06:20,N,nominal,2.0NRT,288.64,1.59,N
18.93043,-70.34974,300.96,0.39,0.36,2021-12-09,06:20,N,nominal,2.0NRT,289.37,0.89,N
18.92771,-70.35397,342.72,0.39,0.36,2021-12-09,06:20,N,nominal,2.0NRT,291.44,1.59,N
