latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
46.0439,-73.13966,310.36,0.51,0.41,2021-11-06,06:31,N,nominal,2.0NRT,272.7,1.93,N
46.04276,-73.14046,309.65,0.51,0.41,2021-11-06,06:31,N,nominal,2.0NRT,271.74,2.16,N
45.07195,-83.40433,297.92,0.5,0.65,2021-11-06,06:31,N,nominal,2.0NRT,273.91,1.27,N
46.51648,-84.39258,299.74,0.56,0.69,2021-11-06,06:31,N,nominal,2.0NRT,272.93,1.89,N
46.93525,-67.53312,300.37,0.38,0.36,2021-11-06,06:31,N,nominal,2.0NRT,268.75,0.72,N
38.7575,-84.99405,296.02,0.55,0.68,2021-11-06,06:33,N,nominal,2.0NRT,273.56,0.82,N
38.83736,-84.24421,295.38,0.5,0.66,2021-11-06,06:33,N,nominal,2.0NRT,273.16,0.82,N
39.47262,-84.40235,296.7,0.52,0.67,2021-11-06,06:33,N,nominal,2.0NRT,274.71,1.07,N
39.48392,-84.36427,300.86,0.52,0.66,2021-11-06,06:33,N,nominal,2.0NRT,272.89,2.24,N
39.42237,-74.54086,298.25,0.49,0.4,2021-11-06,06:33,N,nominal,2.0NRT,274.04,0.69,N
39.94125,-76.81349,296.88,0.42,0.45,2021-11-06,06:33,N,nominal,2.0NRT,272.8,0.98,N
39.96247,-76.59676,299.75,0.41,0.45,2021-11-06,06:33,N,nominal,2.0NRT,270.25,0.74,N
40.30896,-80.61003,319.11,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,272.69,1.06,N
40.31388,-80.60548,299.6,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,272.8,1.06,N
40.31411,-80.60941,304.24,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,270.73,1.06,N
40.63544,-74.22452,295.74,0.49,0.4,2021-11-06,06:33,N,nominal,2.0NRT,278.49,1.05,N
37.23141,-82.03848,302.88,0.37,0.58,2021-11-06,06:33,N,nominal,2.0NRT,263.46,0.94,N
37.2603,-79.30067,311.74,0.53,0.5,2021-11-06,06:33,N,nominal,2.0NRT,270.51,1.63,N
37.38115,-80.65948,310.75,0.63,0.54,2021-11-06,06:33,N,nominal,2.0NRT,273.05,2.59,N
37.33765,-78.04198,312.33,0.45,0.47,2021-11-06,06:33,N,nominal,2.0NRT,266.06,1.54,N
41.13218,-80.68955,296.32,0.34,0.56,2021-11-06,06:33,N,nominal,2.0NRT,270.6,0.69,N
41.1324,-80.69369,298.11,0.34,0.56,2021-11-06,06:33,N,nominal,2.0NRT,270.95,1.31,N
40.63477,-74.21873,296.65,0.49,0.4,2021-11-06,06:33,N,nominal,2.0NRT,278.65,1.05,N
43.26117,-79.80933,324.84,0.32,0.55,2021-11-06,06:33,N,nominal,2.0NRT,278.14,2.11,N
42.94268,-82.41795,305.27,0.43,0.62,2021-11-06,06:33,N,nominal,2.0NRT,273.23,1.05,N
42.81031,-80.09667,295.23,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,274.16,1.18,N
42.81009,-80.09258,310.12,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,275.55,1.14,N
42.80518,-80.09727,321.69,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,277.73,1.48,N
42.80541,-80.1014,308.7,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,275.55,1.48,N
42.8005,-80.10612,299.7,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,274.24,2.02,N
42.80028,-80.10201,307.96,0.33,0.55,2021-11-06,06:33,N,nominal,2.0NRT,277.17,1.48,N
42.81597,-81.32733,296.67,0.38,0.59,2021-11-06,06:33,N,nominal,2.0NRT,270.21,0.65,N
42.29574,-83.17419,305.55,0.47,0.64,2021-11-06,06:33,N,nominal,2.0NRT,274.1,2.52,N
42.29557,-83.16831,296.97,0.47,0.64,2021-11-06,06:33,N,nominal,2.0NRT,272.75,2.1,N
42.2896,-83.16875,313.06,0.47,0.64,2021-11-06,06:33,N,nominal,2.0NRT,272.43,2.1,N
42.28213,-83.11681,298.22,0.46,0.64,2021-11-06,06:33,N,nominal,2.0NRT,273.15,1.07,N
42.29333,-83.16709,320.76,0.47,0.64,2021-11-06,06:33,N,nominal,2.0NRT,273.86,1.98,N
