latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.39932,-155.27971,344.55,0.55,0.68,2021-10-12,00:22,N,nominal,2.0NRT,288.49,17.74,D
45.83813,-73.24863,304.21,0.39,0.6,2021-10-12,05:59,N,nominal,2.0NRT,285.6,0.97,N
45.83833,-73.25394,303.64,0.39,0.6,2021-10-12,05:59,N,nominal,2.0NRT,284.61,0.97,N
40.6367,-74.22591,296.09,0.41,0.6,2021-10-12,06:01,N,nominal,2.0NRT,281.99,1.2,N
39.93815,-76.81705,300.79,0.55,0.68,2021-10-12,06:01,N,nominal,2.0NRT,272.34,1.04,N
40.39651,-79.85698,298.97,0.79,0.78,2021-10-12,06:01,N,nominal,2.0NRT,286.1,3.35,N
40.38884,-79.85731,297.31,0.79,0.78,2021-10-12,06:01,N,nominal,2.0NRT,285.66,1.9,N
40.39621,-79.85699,304.7,0.79,0.78,2021-10-12,06:01,N,nominal,2.0NRT,286.11,1.9,N
40.63647,-74.22094,295.92,0.41,0.6,2021-10-12,06:01,N,nominal,2.0NRT,281.06,1.17,N
33.01284,-79.88908,303.54,0.73,0.76,2021-10-12,06:03,N,nominal,2.0NRT,286.58,1.08,N
33.01556,-79.89176,298.98,0.73,0.76,2021-10-12,06:03,N,nominal,2.0NRT,286.66,0.88,N
33.0082,-79.88383,299.74,0.73,0.76,2021-10-12,06:03,N,nominal,2.0NRT,286.77,1.6,N
33.00544,-79.88113,305.76,0.73,0.76,2021-10-12,06:03,N,nominal,2.0NRT,287.03,1.41,N
18.17105,-77.06535,302.59,0.36,0.57,2021-10-12,06:08,N,nominal,2.0NRT,291.4,0.63,N
46.48609,-81.03307,304.08,0.43,0.38,2021-10-12,07:39,N,nominal,2.0NRT,270.94,1.18,N
46.4895,-81.0317,318.12,0.43,0.38,2021-10-12,07:39,N,nominal,2.0NRT,271.74,1.95,N
46.04424,-73.14088,297.2,0.6,0.53,2021-10-12,07:39,N,nominal,2.0NRT,272.4,1.32,N
43.26572,-79.80579,315.01,0.54,0.42,2021-10-12,07:41,N,nominal,2.0NRT,289.16,2.67,N
43.26196,-79.8073,321.69,0.54,0.42,2021-10-12,07:41,N,nominal,2.0NRT,289.59,2.67,N
43.07002,-80.85867,311.66,0.49,0.4,2021-10-12,07:41,N,nominal,2.0NRT,287.01,1.34,N
42.81186,-80.09168,298.67,0.53,0.42,2021-10-12,07:41,N,nominal,2.0NRT,287.57,1.2,N
42.80945,-80.09951,301.8,0.53,0.42,2021-10-12,07:41,N,nominal,2.0NRT,287.93,1.2,N
42.80811,-80.09315,315.78,0.53,0.42,2021-10-12,07:41,N,nominal,2.0NRT,288.54,1.2,N
42.8057,-80.10098,311.67,0.53,0.42,2021-10-12,07:41,N,nominal,2.0NRT,288.25,3.51,N
42.80436,-80.09464,313.72,0.53,0.42,2021-10-12,07:41,N,nominal,2.0NRT,288.51,3.51,N
