latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
35.50436,-80.32809,304.69,0.47,0.48,2021-12-29,06:39,N,nominal,2.0NRT,287.77,0.58,N
35.77107,-80.83207,300.76,0.51,0.49,2021-12-29,06:39,N,nominal,2.0NRT,287.15,0.52,N
35.97244,-79.48537,302.13,0.43,0.46,2021-12-29,06:39,N,nominal,2.0NRT,287.07,0.68,N
36.52341,-78.60668,304.12,0.39,0.44,2021-12-29,06:39,N,nominal,2.0NRT,278.02,0.69,N
36.95471,-78.36782,302.72,0.39,0.44,2021-12-29,06:39,N,nominal,2.0NRT,279.72,0.69,N
34.37668,-79.88744,302.25,0.43,0.46,2021-12-29,06:41,N,nominal,2.0NRT,287.76,0.65,N
33.00571,-79.87766,300.67,0.42,0.45,2021-12-29,06:41,N,nominal,2.0NRT,288.91,0.33,N
33.01501,-79.88546,330.37,0.42,0.45,2021-12-29,06:41,N,nominal,2.0NRT,289.42,2.95,N
30.2814,-81.97818,309.27,0.51,0.49,2021-12-29,06:41,N,nominal,2.0NRT,287.98,1.86,N
32.62489,-82.04236,300.55,0.55,0.51,2021-12-29,06:41,N,nominal,2.0NRT,287.47,1.1,N
34.72107,-78.02852,297.46,0.53,0.42,2021-12-29,06:41,N,nominal,2.0NRT,287.44,0.6,N
35.00485,-79.13601,299.76,0.4,0.44,2021-12-29,06:41,N,nominal,2.0NRT,287.06,0.4,N
34.86591,-77.69209,298.44,0.51,0.41,2021-12-29,06:41,N,nominal,2.0NRT,286.59,0.54,N
32.62016,-82.04301,318.23,0.55,0.51,2021-12-29,06:41,N,nominal,2.0NRT,287.96,2.19,N
30.31296,-82.97922,295.1,0.59,0.53,2021-12-29,06:41,N,nominal,2.0NRT,280.82,0.64,N
30.28123,-81.97696,312.82,0.51,0.5,2021-12-29,06:41,N,nominal,2.0NRT,287.65,1.09,N
31.48544,-83.18803,301.23,0.62,0.54,2021-12-29,06:41,N,nominal,2.0NRT,287.02,0.43,N
31.42931,-82.35728,297.11,0.56,0.51,2021-12-29,06:41,N,nominal,2.0NRT,286.86,0.54,N
31.86068,-84.56186,303.22,0.38,0.59,2021-12-29,06:41,N,nominal,2.0NRT,288.57,0.55,N
31.86093,-84.56047,300.61,0.38,0.59,2021-12-29,06:41,N,nominal,2.0NRT,288.27,0.61,N
