,latitude,longitude,county
185,39.46,-122.05,Glenn County
186,39.55,-122.05,Butte County
187,39.46,-122.18,Glenn County
188,39.46,-122.17,Glenn County
189,39.45,-122.18,Glenn County
190,39.45,-122.17,Glenn County
191,39.51,-122.16,Glenn County
192,39.43,-122.21,Glenn County
193,39.54,-121.91,Glenn County
194,39.58,-122.09,Lake County
195,39.48,-121.7,Butte County
196,37.47,-120.76,Merced County
197,39.52,-122.04,Glenn County
198,38.22,-122.33,Napa County
199,39.53,-121.67,Butte County
200,39.04,-122.16,Colusa County
201,39.9,-120.51,Plumas County
202,39.46,-121.26,Yuba County
203,39.47,-123.63,Mendocino County
204,38.8,-120.48,Jackson County
205,38.8,-120.49,Placer County
206,37.33,-120.32,Merced County
207,38.82,-120.48,El Dorado County
208,38.79,-120.49,Placer County
209,38.81,-120.14,El Dorado County
210,42.4,-120.45,Klamath County
211,42.23,-121.04,Klamath County
212,38.95,-120.45,El Dorado County
213,38.89,-120.42,El Dorado County
214,38.89,-120.41,El Dorado County
215,38.88,-120.41,El Dorado County
216,38.95,-120.46,Placer County
217,38.94,-120.45,Placer County
218,38.72,-120.37,El Dorado County
219,38.79,-120.2,El Dorado County
220,37.69,-120.21,Mariposa County
221,40.55,-122.51,Shasta County
222,40.56,-122.51,Shasta County
223,39.18,-121.71,Colusa County
224,39.21,-121.72,Sutter County
225,39.17,-121.71,Mendocino County
226,39.86,-120.49,Plumas County
227,39.86,-120.5,Plumas County
228,41.28,-122.35,Siskiyou County
229,39.54,-120.37,Sierra County
230,39.4,-119.88,Washoe County
231,39.53,-120.38,Sierra County
232,39.53,-120.37,Sierra County
233,39.05,-120.14,Placer County
234,38.93,-121.89,Yolo County
235,41.36,-123.51,Siskiyou County
236,42.24,-124.09,Curry County
237,37.59,-120.78,Stanislaus County
238,37.58,-120.8,Stanislaus County
239,37.36,-121.05,Stanislaus County
240,38.0,-121.05,San Joaquin County
241,39.59,-122.05,Glenn County
242,39.42,-121.77,Butte County
243,39.42,-121.76,Butte County
244,39.83,-121.99,Butte County
245,40.37,-122.26,Shasta County
246,41.33,-121.99,Siskiyou County
247,41.32,-121.98,Siskiyou County
248,41.32,-121.99,Siskiyou County
249,41.32,-121.97,Siskiyou County
250,41.08,-124.07,Humboldt County
251,40.45,-121.76,Tehama County
252,40.56,-122.45,Shasta County
253,41.05,-123.96,Humboldt County
254,38.54,-120.31,El Dorado County
255,40.58,-121.46,Shasta County
256,38.98,-122.01,Colusa County
257,40.39,-123.83,Humboldt County
258,40.39,-123.84,Humboldt County
259,41.61,-122.09,Siskiyou County
260,41.69,-122.08,Siskiyou County
261,41.59,-122.1,Siskiyou County
262,41.61,-122.1,Siskiyou County
263,41.69,-122.07,Klamath County
264,40.02,-121.09,Plumas County
265,39.31,-122.7,Josephine County
266,39.31,-122.69,Colusa County
267,38.42,-122.34,Napa County
268,39.68,-121.1,Plumas County
269,39.6,-123.72,Mendocino County
270,39.41,-120.81,Sierra County
271,39.78,-121.48,Butte County
272,38.92,-122.7,Lake County
273,40.03,-122.55,Tehama County
274,37.32,-119.8,Madera County
275,40.46,-121.78,Humboldt County
276,38.21,-120.46,Calaveras County
277,38.42,-122.51,Sonoma County
278,37.49,-119.86,Mariposa County
279,42.5,-121.23,Klamath County
280,38.94,-122.67,Lake County
281,39.79,-121.96,Butte County
282,37.34,-120.62,Merced County
283,39.7,-121.52,Butte County
284,40.55,-122.44,Shasta County
285,40.57,-122.4,Shasta County
286,38.57,-118.98,Lyon County
287,37.76,-120.14,Mariposa County
288,39.64,-122.17,Glenn County
289,39.66,-121.61,Butte County
290,39.66,-121.6,Butte County
291,39.52,-121.26,Butte County
292,41.0,-122.11,Shasta County
293,38.51,-121.99,Yolo County
294,38.53,-120.23,Amador County
295,41.41,-121.3,Modoc County
296,41.43,-121.3,Modoc County
297,40.74,-124.03,Humboldt County
298,40.74,-124.02,Humboldt County
299,41.4,-121.3,Modoc County
300,41.41,-121.29,Modoc County
301,41.42,-121.29,Modoc County
302,41.42,-121.26,Modoc County
303,41.42,-121.32,Modoc County
304,41.43,-121.31,Modoc County
305,41.42,-121.3,Modoc County
306,40.42,-121.76,Tehama County
307,38.66,-122.01,Klamath County
308,38.35,-121.45,Sacramento County
309,38.43,-120.94,Amador County
310,38.49,-122.97,Sonoma County
311,40.39,-121.77,Tehama County
312,40.4,-121.77,Tehama County
313,41.42,-121.31,Modoc County
314,42.12,-123.37,Josephine County
315,41.19,-121.85,Siskiyou County
316,41.19,-121.84,Siskiyou County
317,41.01,-122.07,Siskiyou County
318,41.32,-121.45,Modoc County
319,41.35,-121.4,Modoc County
320,41.34,-121.41,Modoc County
321,41.33,-121.45,Modoc County
322,41.32,-121.39,Modoc County
323,41.33,-121.4,Modoc County
324,38.99,-122.82,Lake County
325,38.14,-121.32,San Joaquin County
326,38.21,-121.6,Sacramento County
327,40.79,-122.91,Trinity County
328,40.78,-122.91,Trinity County
329,40.59,-122.28,Shasta County
330,40.59,-122.27,Shasta County
331,38.33,-121.63,Yolo County
332,38.33,-121.61,Yolo County
333,37.38,-119.91,Madera County
334,39.47,-122.19,Lake County
335,39.24,-122.25,Colusa County
336,39.25,-120.89,Nevada County
337,39.85,-122.05,Butte County
338,37.56,-121.06,Stanislaus County
339,38.38,-122.03,Klamath County
340,37.62,-119.08,San Joaquin County
341,38.92,-121.16,Placer County
342,37.27,-119.74,Madera County
343,39.23,-121.34,Yuba County
344,38.38,-121.92,Solano County
345,38.97,-122.85,Mendocino County
346,41.05,-122.05,Shasta County
347,41.58,-122.45,Siskiyou County
348,41.58,-122.44,Siskiyou County
349,39.34,-122.13,Colusa County
350,38.97,-122.84,Lake County
